label,property,property_types,mandatory,node_count,non_null_count,fill_pct,sample_values
AccountHolder,UniqueId,String,True,4060,4060,100.0%,D8EM63OV42W | P3UT23MY74S | X5ZO80CN36W
AccountHolder,birthDate,String,True,4060,4060,100.0%,1966-01-25 | 1966-08-14 | 1978-08-14
AccountHolder,firstName,String,True,4060,4060,100.0%,Roni | Terra | Trista
AccountHolder,fullName,String,True,4060,4060,100.0%,Jerry Damelio | Eneida Siegler | Heidi Montelongo
AccountHolder,lastName,String,True,4060,4060,100.0%,Guertin | Brechbill | Mobilio
AccountHolder`,UniqueId,String,True,0,0,,
AccountHolder`,birthDate,String,True,0,0,,
AccountHolder`,firstName,String,True,0,0,,
AccountHolder`,fullName,String,True,0,0,,
AccountHolder`,lastName,String,True,0,0,,
Address,city,String,True,5040,5040,100.0%,Crest | Kellyville | Whitewood
Address,state,String,True,5040,5040,100.0%,Nevada | South Dakota | Nebraska
Address,streetAddress,String,True,5040,5040,100.0%,3832 Wolf Meadow | 3984 Hagenes Lights | 068 Marion Cove
Address,zip,String,True,5040,5040,100.0%,85745 | 25232-2325 | 53757-4675
BankAccount,accountNumber,String,True,5060,5060,100.0%,7503 0469 6159 6745 | 0585 3821 0955 9803 | 6320 4908 9942 0888
BankAccount,balance,Double,True,5060,5060,100.0%,2536.78 | 3915.09 | 1526.27
BankAccount,lastReceived,Long,False,5060,250,4.9%,1518026143723 | 1518026143723 | 1518026143723
BankAccount,lastSend,Long,False,5060,257,5.1%,1518026143723 | 1518026088096 | 1518026143723
BankCard,accountNumber,String,True,340,340,100.0%,3706 6925 4302 4406 | 1201 6727 0764 7356 | 0178 7943 8099 9026
BankCard,balance,Double,True,340,340,100.0%,4569.62 | 3519.73 | 3700.19
BankCard,expirationDate,String,True,340,340,100.0%,06-18 | 09-19 | 11-19
BankCard,latePayments,Double,True,340,340,100.0%,0.0 | 4.0 | 0.0
BankCard,limit,Double,True,340,340,100.0%,5000.0 | 5000.0 | 75000.0
BankCard,securityCode,String,True,340,340,100.0%,343 | 758 | 023
CreditCard,accountNumber,String,True,3050,3050,100.0%,3763 7225 7287 8695 | 8761 5107 8483 0918 | 4932 8705 6851 2896
CreditCard,balance,Double,True,3050,3050,100.0%,958.43 | 4702.9 | 1280.52
CreditCard,expirationDate,String,True,3050,3050,100.0%,06-19 | 07-19 | 03-19
CreditCard,latePayments,Double,True,3050,3050,100.0%,0.0 | 0.0 | 0.0
CreditCard,limit,Double,True,3050,3050,100.0%,5000.0 | 5000.0 | 5000.0
CreditCard,securityCode,String,True,3050,3050,100.0%,926 | 191 | 491
DeliveryAddress,city,String,True,240,240,100.0%,Tompkinsville | Staunton | Chapin
DeliveryAddress,state,String,True,240,240,100.0%,Rhode | Oklahoma | Colorado
DeliveryAddress,streetAddress,String,True,240,240,100.0%,777 Alverta Highway | 0333 Marquis Ranch | 538 Annabel Mission
DeliveryAddress,zip,String,True,240,240,100.0%,67830 | 40739 | 51713
FinancialInstitute,name,String,True,75,75,100.0%,Davis and Sons | Champlin Group | Witting Inc
FinancialInstitute,website,String,True,75,75,100.0%,www.elta-brakus.biz | www.johann-hartmann.com | www.cyrus-brown.com
IP,ip,String,True,240,240,100.0%,3.45.181.142 | 57.131.84.153 | 44.251.76.163
Login,firstName,String,True,200,200,100.0%,Jack | Joeann | Derek
Login,lastName,String,True,200,200,100.0%,Netzer | Carles | Yarboro
Login,mail,String,True,200,200,100.0%,erasmo.toki@acme.com | candelaria.paramo@acme.com | justine.prada@acme.com
Login,startDate,Integer,True,200,200,100.0%,19700323 | 19910609 | 19730630
Login,userid,String,True,200,200,100.0%,rebecade | neelywa | teresano
MoneyTransfer,amount,Double,True,1000,1000,100.0%,401.24 | 253.32 | 197.48
MoneyTransfer,transactionDate,String,True,1000,1000,100.0%,2018-02-07 | 2018-02-07 | 2018-02-07
PhoneNumber,phone,String,True,5030,5030,100.0%,760.4828.4589.4 | 160.2950.0957.1 | 489.9795.2875.5
PhoneNumber,provider,String,True,5030,5030,100.0%,Interstate Mob | Loud and Clear | Yellow Mobile
PhoneNumber,touched,Long,False,5030,257,5.1%,1518026143723 | 1518026143723 | 1518026143723
Purchase,amount,Double,True,500,500,100.0%,1317.55 | 3106.4 | 2725.46
Purchase,date,String,True,500,500,100.0%,2018-01-28 | 2018-02-05 | 2018-02-07
Purchase,purchaseCode,String,True,500,500,100.0%,799413120687405-3 | 013533058198758-6 | 605262017228736-6
Purchase,time,Long,True,500,500,100.0%,1518025179452 | 1518025002688 | 1517034004870
SSN,ssn,String,True,4030,4030,100.0%,336-12-6474 | 444-46-0351 | 117-90-0928
Shop,business,String,True,3,3,100.0%,deliver wireless niches | benchmark leading-edge solutions | expedite compelling paradigms
Shop,name,String,True,3,3,100.0%,Macejkovic and Sons | Hoeger LLC | Vandervort LLC
Shop,shopID,String,True,3,3,100.0%,84802-A68 | 66104-A97 | 56809-A54
State,name,String,True,50,50,100.0%,District of Columbia | Mississippi | Maryland
UnsecuredLoan,APR,String,True,2040,2040,100.0%,0.341 | 0.192 | 0.019
UnsecuredLoan,accountNumber,String,True,2040,2040,100.0%,3770 3295 6909 4098-6 | 0981 4396 9231 0542-4 | 2550 7522 6272 5115-0
UnsecuredLoan,balance,Double,True,2040,2040,100.0%,7486.47 | 5320.39 | 956.03
UnsecuredLoan,loanAmount,Double,True,2040,2040,100.0%,10000.0 | 19000.0 | 10000.0
_Bloom_Perspective_,data,String,True,2,2,100.0%,"{""name"":""Fraud Detection Cases"",""id"":""00a4… | {""name"":""Fraud Data Perspective"",""id"":""78a…"
_Bloom_Perspective_,id,String,True,2,2,100.0%,00a40f70-5d66-11e9-be37-49c7594f8f4e | 78af4150-259f-11e9-90df-810da5acf4cf
_Bloom_Perspective_,name,String,True,2,2,100.0%,Fraud Detection Cases | Fraud Data Perspective
_Bloom_Perspective_,roles,StringArray,True,2,2,100.0%,"['admin', 'publisher', 'architect', 'Bloom… | ['admin', 'publisher', 'architect']"
_Bloom_Perspective_,version,String,True,2,2,100.0%,1.1.0-EAP-20190311-snapshot | 1.1.0-EAP-20190410-snapshot
