label,property,property_types,mandatory,node_count,non_null_count,fill_pct,sample_values
AgeGroup,ageGroup,String,True,5,5,100.0%,Child | Adult | Infant
Case,age,Double,True,4307,4307,100.0%,75.0 | 71.0 | 52.0
Case,ageUnit,String,True,4307,4307,100.0%,YR | YR | YR
Case,eventDate,Date,True,4307,4307,100.0%,2021-07-01 | 2021-05-15 | 2020-08-10
Case,gender,String,True,4307,4307,100.0%,F | F | F
Case,primaryid,Long,True,4307,4307,100.0%,195061141 | 164684152 | 195683982
Case,reportDate,Date,True,4307,4307,100.0%,2021-07-14 | 2021-07-21 | 2021-07-15
Case,reporterOccupation,String,True,4307,4307,100.0%,Lawyer | Hospital | Physician
Drug,name,String,True,2500,2500,100.0%,Electrolyte A | PRILOSEC OTC | evolocumab
Drug,primarySubstabce,String,False,2500,2328,93.1%,DEXMEDETOMIDINE | BUPRENORPHINE HYDROCHLORIDE | TRIENTINE HYDROCHLORIDE
Manufacturer,manufacturerName,String,True,136,136,100.0%,AMERICAN REGENT | JAZZ | MERCK
Outcome,code,String,True,6,6,100.0%,DS | DE | CA
Outcome,outcome,String,True,6,6,100.0%,Death | Disability | Other Serious (Important Medical Event)
Reaction,description,String,True,2701,2701,100.0%,Haemarthrosis | Nitrite urine present | Crying
ReportSource,code,String,True,5,5,100.0%,CSM | HP | FGN
ReportSource,name,String,True,5,5,100.0%,Company Representative | Health Professional | User Facility
Therapy,primaryid,Long,True,1721,1721,100.0%,194262312 | 180564584 | 190915932
