label,property,property_types,mandatory,node_count,non_null_count,fill_pct,sample_values
Match,date,Date,True,284,284,100.0%,2015-06-15 | 2007-09-15 | 2019-06-11
Match,id,String,True,284,284,100.0%,300269494 | 69290009 | 69290008
Match,stage,String,True,284,284,100.0%,Round of 16 | Group Matches | Semi-final
Person,dob,Date,False,2022,1672,82.7%,1947-04-24 | 1979-07-08 | 1971-02-01
Person,id,String,True,2022,2022,100.0%,191602 | 261 | 190129
Person,name,String,True,2022,2022,100.0%,Alexandra Popp | Merissa Smith | Rita Chikwelu
Squad,id,String,True,136,136,100.0%,Denmark in 2007 | Germany in 2015 | Japan in 1995
Team,id,String,True,36,36,100.0%,1884203 | 1884881 | 1883723
Team,name,String,True,36,36,100.0%,Cameroon | England | Brazil
Tournament,id,String,True,8,8,100.0%,4654 | 4644 | 6929
Tournament,name,String,True,8,8,100.0%,France 2019 | USA 1999 | Germany 2011
Tournament,shortName,String,True,8,8,100.0%,chinapr1991 | germany2011 | france2019
Tournament,year,Long,True,8,8,100.0%,2019 | 2003 | 1999
