label,property,property_types,mandatory,node_count,non_null_count,fill_pct,sample_values
Area,areaCode,String,True,93,93,100.0%,M35 | M17 | OL8
Crime,charge,String,False,28762,11,0.0%,Production of Cannabis with Intent to Supply | Possession of Cannabis | Possession of Cannabis with…
Crime,date,String,True,28762,28762,100.0%,28/08/2017 | 1/08/2017 | 19/08/2017
Crime,id,String,True,28762,28762,100.0%,dd0c5f078845f75b846f23b1d506d2c133c09f91ef… | 519a978b46c0d1b08732d065b5260b6bf7eb170e04… | 2e9412f…
Crime,last_outcome,String,True,28762,28762,100.0%,Investigation complete; no suspect identified | Offender given suspended prison sentence | Unable t…
Crime,note,String,False,28762,1,0.0%,"""this is an awesome new note"" "
Crime,type,String,False,28762,28761,100.0%,Criminal damage and arson | Violence and sexual offences | Burglary
Email,email_address,String,True,328,328,100.0%,djordan92@salon.com | amurphy2f@slate.com | rdean5c@webeden.co.uk
Location,address,String,True,14904,14904,100.0%,Parking Area | 114 Newgate Avenue | 91 Chelsea Avenue
Location,latitude,Double,True,14904,14904,100.0%,53.502225 | 53.593562 | 53.548712
Location,longitude,Double,True,14904,14904,100.0%,-2.195746 | -2.328574 | -2.17088
Location,postcode,String,True,14904,14904,100.0%,M34 5EJ | M11 3HL | WN6 8HA
Object,description,String,True,7,7,100.0%,"250g Loose Cannabis | £3,500 currency | £830 currency"
Object,id,String,False,7,2,28.6%,2346erfsdff223 | 484brolsdfb666
Object,type,String,True,7,7,100.0%,Evidence | Evidence | Evidence
Officer,badge_no,String,True,1000,1000,100.0%,60-5284918 | 81-5267666 | 37-1054209
Officer,name,String,True,1000,1000,100.0%,Kelcie | Karilynn | Catherin
Officer,rank,String,True,1000,1000,100.0%,Police Constable | Chief Inspector | Police Constable
Officer,surname,String,True,1000,1000,100.0%,Huddlestone | Dunnet | Gorrie
Person,age,String,False,369,1,0.3%,12
Person,name,String,True,369,369,100.0%,Carlos | Heather | Brenda
Person,nhs_no,String,False,369,368,99.7%,837-88-3558 | 237-02-1263 | 816-84-2237
Person,surname,String,True,369,369,100.0%,Wheeler | Weaver | Hayes
Phone,phoneNo,String,True,328,328,100.0%,3-(285)553-8319 | 1-(270)056-1454 | 5-(428)460-1400
PhoneCall,call_date,String,True,534,534,100.0%,19/08/2017 | 28/08/2017 | 19/08/2017
PhoneCall,call_duration,String,True,534,534,100.0%,35 | 34 | 92
PhoneCall,call_time,String,True,534,534,100.0%,17:08 | 20:33 | 19:00
PhoneCall,call_type,String,True,534,534,100.0%,SMS | SMS | SMS
PostCode,code,String,True,14196,14196,100.0%,M43 7NB | OL10 2PR | M20 5GT
Vehicle,make,String,True,1000,1000,100.0%,Chevrolet | Nissan | Mercury
Vehicle,model,String,True,1000,1000,100.0%,Montero Sport | Ram 3500 | MDX
Vehicle,reg,String,True,1000,1000,100.0%,WM92 ZGQ | OS32 KAS | CD02 LGY
Vehicle,year,String,True,1000,1000,100.0%,1993 | 2007 | 2004
